ID;Service_number;Reservation;Tariff;Service_Mode;Service_Name;Service_Provider;not_used;Reservation_system;First_day;Last_day;Operation_days;Second_service_number
245;707;;;32;;3733;;92;2026-04-25;2026-04-26;11;
246;707;;;32;;3733;;92;2026-04-25;2026-04-26;11;
247;707;;;32;;3733;;92;2026-05-14;2026-05-16;111;
248;707;;;32;;3733;;92;2026-05-14;2026-05-16;111;
249;707;;;32;;3733;;92;2026-05-14;2026-05-16;111;
250;707;;;32;;3733;;92;2026-05-14;2026-05-16;111;
251;707;;;32;;3733;;92;2026-05-14;2026-05-16;111;
252;707;;;32;;3733;;92;2026-05-23;2026-05-23;1;
253;707;;;32;;3733;;92;2026-05-23;2026-05-23;1;
254;707;;;32;;3733;;92;2026-05-23;2026-05-23;1;
255;707;;;37;;3733;;92;2017-09-22;2017-09-22;1;
256;708;;;37;;3733;;92;2026-04-09;2026-08-06;110011111001111100111110011111001110000111110011111001111100111110011111001111100111110011111001111100111110011111001111;
257;708;;;37;;3733;;92;2026-04-11;2026-07-18;100000010000000000000100000010000000000000000000010000001000000100000010000001000000100000010000001;
258;708;;;37;;3733;;92;2026-04-12;2026-08-02;10000001000000000000010000001000000000000010000001000000100000010000001000000100000010000001000000100000010000001;
259;708;;;37;;3733;;92;2026-04-25;2026-04-25;1;
260;708;;;37;;3733;;92;2026-04-26;2026-04-26;1;
261;708;;;37;;3733;;92;2026-05-14;2026-05-14;1;
262;708;;;37;;3733;;92;2026-05-15;2026-05-15;1;
263;708;;;37;;3733;;92;2026-05-16;2026-05-16;1;
264;708;;;37;;3733;;92;2026-05-17;2026-05-17;1;
265;708;;;37;;3733;;92;2026-05-23;2026-05-23;1;
266;708;;;37;;3733;;92;2026-07-25;2026-08-01;10000001;
267;708;;;37;;3733;;92;2017-09-22;2017-09-22;1;
268;708;;;32;;3733;;92;2026-05-14;2026-05-16;111;
269;708;;;32;;3733;;92;2026-04-25;2026-04-26;11;
270;708;;;32;;3733;;92;2026-04-25;2026-04-26;11;
271;708;;;32;;3733;;92;2026-04-25;2026-04-26;11;
272;708;;;32;;3733;;92;2026-04-25;2026-04-26;11;
273;708;;;32;;3733;;92;2026-05-14;2026-05-16;111;
274;708;;;32;;3733;;92;2026-05-14;2026-05-16;111;
275;708;;;32;;3733;;92;2026-05-14;2026-05-16;111;
276;708;;;32;;3733;;92;2026-05-14;2026-05-16;111;
277;708;;;32;;3733;;92;2026-05-14;2026-05-16;111;
278;708;;;32;;3733;;92;2026-04-25;2026-04-26;11;
279;708;;;32;;3733;;92;2026-04-25;2026-04-26;11;
280;708;;;32;;3733;;92;2026-04-25;2026-04-26;11;
281;708;;;32;;3733;;92;2026-04-25;2026-04-26;11;
282;708;;;32;;3733;;92;2026-04-25;2026-04-26;11;
283;708;;;32;;3733;;92;2026-04-25;2026-04-26;11;
284;708;;;32;;3733;;92;2026-05-14;2026-05-16;111;
285;708;;;32;;3733;;92;2026-05-14;2026-05-16;111;
286;708;;;32;;3733;;92;2026-05-14;2026-05-16;111;
287;708;;;32;;3733;;92;2026-05-23;2026-05-23;1;
288;708;;;32;;3733;;92;2026-05-23;2026-05-23;1;
289;708;;;32;;3733;;92;2026-05-23;2026-05-23;1;
290;708;;;37;;3733;;92;2017-09-22;2017-09-22;1;
291;708;;;37;;3733;;92;2017-09-22;2017-09-22;1;
292;709;;;37;;3733;;92;2026-04-09;2026-06-26;1100111110011111001111000111110011100001111100111110011111001111100111110011111;
293;709;;;37;;3733;;92;2026-04-11;2026-06-20;10000001000000000000010000001000000000000000000001000000100000010000001;
294;709;;;37;;3733;;92;2026-04-25;2026-04-25;1;
295;709;;;37;;3733;;92;2026-05-15;2026-05-15;1;
296;709;;;37;;3733;;92;2026-05-16;2026-05-16;1;
297;709;;;37;;3733;;92;2026-05-23;2026-05-23;1;
298;709;;;37;;3733;;92;2026-06-27;2026-07-18;1000000100000010000001;
299;709;;;37;;3733;;92;2026-06-29;2026-08-06;111110011111001111100111110011111001111;
300;709;;;37;;3733;;92;2026-07-25;2026-08-01;10000001;
301;709;;;32;;3733;;92;2026-04-25;2026-04-25;1;
302;709;;;32;;3733;;92;2026-04-25;2026-04-25;1;
303;709;;;32;;3733;;92;2026-04-25;2026-04-25;1;
304;709;;;32;;3733;;92;2026-04-25;2026-04-25;1;
305;709;;;32;;3733;;92;2026-04-25;2026-04-25;1;
306;709;;;32;;3733;;92;2026-04-25;2026-04-25;1;
307;709;;;32;;3733;;92;2026-04-25;2026-04-25;1;
308;709;;;32;;3733;;92;2026-04-25;2026-04-25;1;
309;709;;;32;;3733;;92;2026-04-25;2026-04-25;1;
310;709;;;32;;3733;;92;2026-04-25;2026-04-25;1;
311;709;;;32;;3733;;92;2026-05-15;2026-05-16;11;
312;709;;;32;;3733;;92;2026-05-15;2026-05-16;11;
313;709;;;32;;3733;;92;2026-05-15;2026-05-16;11;
314;709;;;32;;3733;;92;2026-05-15;2026-05-16;11;
315;709;;;32;;3733;;92;2026-05-15;2026-05-16;11;
316;709;;;32;;3733;;92;2026-05-15;2026-05-16;11;
317;709;;;32;;3733;;92;2026-05-15;2026-05-16;11;
318;709;;;32;;3733;;92;2026-05-15;2026-05-16;11;
319;709;;;32;;3733;;92;2026-05-15;2026-05-16;11;
320;709;;;32;;3733;;92;2026-05-23;2026-05-23;1;
321;709;;;32;;3733;;92;2026-05-23;2026-05-23;1;
322;709;;;32;;3733;;92;2026-05-23;2026-05-23;1;
323;709;;;37;;3733;;92;2017-09-22;2017-09-22;1;
324;709;;;37;;3733;;92;2017-09-22;2017-09-22;1;
325;710;;;37;;3733;;92;2026-04-09;2026-06-26;1111111111111111001111001111111111100001111100111111111111011111111111111111111;
326;710;;;37;;3733;;92;2026-04-25;2026-04-26;11;
327;710;;;37;;3733;;92;2026-05-15;2026-05-16;11;
328;710;;;37;;3733;;92;2026-05-23;2026-05-23;1;
329;710;;;37;;3733;;92;2026-06-27;2026-08-06;11111111111111111111111111110111111011111;
330;710;;;37;;3733;;92;2026-07-25;2026-08-01;10000001;
331;710;;;37;;3733;;92;2017-09-22;2017-09-22;1;
332;710;;;32;;3733;;92;2026-04-25;2026-04-26;11;
333;710;;;32;;3733;;92;2026-04-25;2026-04-26;11;
334;710;;;32;;3733;;92;2026-04-25;2026-04-26;11;
335;710;;;32;;3733;;92;2026-04-25;2026-04-26;11;
336;710;;;32;;3733;;92;2026-04-25;2026-04-26;11;
337;710;;;32;;3733;;92;2026-04-25;2026-04-26;11;
338;710;;;32;;3733;;92;2026-04-25;2026-04-26;11;
339;710;;;32;;3733;;92;2026-04-25;2026-04-26;11;
340;710;;;32;;3733;;92;2026-04-25;2026-04-26;11;
341;710;;;32;;3733;;92;2026-04-25;2026-04-26;11;
342;710;;;32;;3733;;92;2026-05-15;2026-05-16;11;
343;710;;;32;;3733;;92;2026-05-15;2026-05-16;11;
344;710;;;32;;3733;;92;2026-05-15;2026-05-16;11;
345;710;;;32;;3733;;92;2026-05-15;2026-05-16;11;
346;710;;;32;;3733;;92;2026-05-15;2026-05-16;11;
347;710;;;32;;3733;;92;2026-05-14;2026-05-16;111;
348;710;;;32;;3733;;92;2026-05-14;2026-05-16;111;
349;710;;;32;;3733;;92;2026-05-15;2026-05-16;11;
350;710;;;32;;3733;;92;2026-05-15;2026-05-16;11;
351;710;;;32;;3733;;92;2026-05-23;2026-05-23;1;
352;710;;;32;;3733;;92;2026-05-23;2026-05-23;1;
353;710;;;32;;3733;;92;2026-05-23;2026-05-23;1;
354;710;;;37;;3733;;92;2017-09-22;2017-09-22;1;
355;711;;;37;;3733;;92;2026-04-09;2026-06-25;100011110001111000111100011110001110000111100001110001111000111100011110001111;
356;711;;;37;;3733;;92;2026-04-10;2026-06-26;101000010100001000000101000010100000010000101000010100001010000101000010100001;
357;711;;;37;;3733;;92;2026-04-26;2026-04-26;1;
358;711;;;37;;3733;;92;2026-05-14;2026-05-15;11;
359;711;;;37;;3733;;92;2026-06-28;2026-08-02;100000010000001000000100000010000001;
360;711;;;37;;3733;;92;2026-06-29;2026-08-06;111110011111001111100111110011111001111;
361;711;;;32;;3733;;92;2026-05-14;2026-05-15;11;
362;711;;;32;;3733;;92;2026-04-26;2026-04-26;1;
363;711;;;32;;3733;;92;2026-04-26;2026-04-26;1;
364;711;;;32;;3733;;92;2026-04-26;2026-04-26;1;
365;711;;;32;;3733;;92;2026-04-26;2026-04-26;1;
366;711;;;32;;3733;;92;2026-04-26;2026-04-26;1;
367;711;;;32;;3733;;92;2026-05-14;2026-05-15;11;
368;711;;;32;;3733;;92;2026-05-14;2026-05-15;11;
369;711;;;32;;3733;;92;2026-05-14;2026-05-15;11;
370;711;;;32;;3733;;92;2026-05-14;2026-05-15;11;
371;711;;;32;;3733;;92;2026-05-14;2026-05-15;11;
372;711;;;32;;3733;;92;2026-05-14;2026-05-15;11;
373;711;;;32;;3733;;92;2026-05-14;2026-05-15;11;
374;711;;;32;;3733;;92;2026-04-26;2026-04-26;1;
375;711;;;32;;3733;;92;2026-04-26;2026-04-26;1;
376;711;;;32;;3733;;92;2026-04-26;2026-04-26;1;
377;711;;;32;;3733;;92;2026-04-26;2026-04-26;1;
378;711;;;32;;3733;;92;2026-04-26;2026-04-26;1;
379;711;;;32;;3733;;92;2026-05-14;2026-05-15;11;
380;711;;;37;;3733;;92;2017-09-22;2017-09-22;1;
381;712;;;37;;3733;;92;2026-04-09;2026-08-06;111111111111111100111110111111111110000111110111111011111101111111111111111111111111111111111111111111111110011111001111;
382;712;;;37;;3733;;92;2026-04-25;2026-04-26;11;
383;712;;;37;;3733;;92;2026-05-02;2026-06-06;100000000000111000000000000000000001;
384;712;;;37;;3733;;92;2026-05-23;2026-05-23;1;
385;712;;;37;;3733;;92;2026-05-30;2026-05-30;1;
386;712;;;37;;3733;;92;2026-07-25;2026-08-02;110000011;
387;712;;;32;;3733;;92;2026-04-25;2026-04-26;11;
